Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
gold_standard_high_single	RH|P|C26819_186	NapA	39	713	r__Root	1.0	15	9.8e-66	1.0	2.4253	0.0001,1.1561,1.2692
gold_standard_high_single	RH|P|C13006_10	NapA	40	342	r__Root	1.0	17	3.9e-20	1.0	1.94	0.5742,1.3658,0.0
gold_standard_high_single	RH|P|C39902_50	NapA	1	297	r__Root	1.0	68	8.1e-68	0.9304558203	1.629	0.2459,0.6628,0.7203
gold_standard_high_single	RH|P|C9184_46	NapA	1	528	r__Root	1.0	1524	3.2e-160	0.9059550182	2.7862	0.008,0.7932,1.985
gold_standard_high_single	RH|P|C11827_18	NapA	1	528	r__Root	1.0	104	3e-145	1.0	2.077	0.7873,0.6698,0.62
gold_standard_high_single	RH|P|C14347_13	NapA	100	725	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	7.1e-79	0.9999825827	0.8389	0.209,0.6299,0.0
gold_standard_high_single	RH|P|C18654_318	NapA	132	780	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	1.2e-87	1.0	0.8784	0.2805,0.5979,0.0
gold_standard_high_single	RH|P|C28634_379	NapA	131	780	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	1.5e-87	0.9999996556	0.8966	0.2807,0.6159,0.0
gold_standard_high_single	RH|P|C28856_54	NapA	116	765	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	1e-77	0.8589279362	0.8938	0.2876,0.6062,0.0
gold_standard_high_single	RH|P|C23330_4	NapA	63	715	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	109	2.7e-74	1.0	0.5713	0.0449,0.3739,0.1525
gold_standard_high_single	RH|P|C1228_147	NapA	124	773	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	6.7e-86	0.994567515	0.94	0.0637,0.5889,0.2874
gold_standard_high_single	RH|P|C824_237	NapA	124	773	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	6.7e-86	0.994567515	0.94	0.0637,0.5889,0.2874
gold_standard_high_single	RH|P|C4066_194	NapA	107	761	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	1.4e-87	1.0	0.8651	0.1317,0.446,0.2874
gold_standard_high_single	RH|P|C15042_58	NapA	111	757	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	1.5e-96	1.0	0.9194	0.0753,0.5567,0.2874
gold_standard_high_single	RH|P|C4385_142	NapA	64	713	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	109	1.3e-77	0.9927783257	0.6255	0.0442,0.4289,0.1525
gold_standard_high_single	RH|P|C14146_1	NapA	115	766	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	1.3e-82	1.0	0.8905	0.0755,0.5276,0.2874
gold_standard_high_single	RH|P|C24028_75	NapA	114	759	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	5e-82	1.0	0.8582	0.0222,0.5486,0.2874
gold_standard_high_single	RH|P|C32845_106	NapA	107	772	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	9.6e-78	1.0	0.9368	0.1073,0.5421,0.2874
gold_standard_high_single	RH|P|C3746_257	NapA	109	758	r__Root; d__Bacteria	1.0	110	2e-95	1.0	1.0109	0.0339,0.6896,0.2874
gold_standard_high_single	RH|P|C30793_271	NapA	133	783	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	6.9e-83	0.9633997573	0.89	0.2755,0.6146,0.0
gold_standard_high_single	RH|P|C16036_14	NapA	97	751	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	2.6e-82	1.0	0.7771	0.0949,0.3948,0.2874
gold_standard_high_single	RH|P|C17083_18	NapA	105	761	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	2.5e-91	1.0	0.9607	0.104,0.5693,0.2874
gold_standard_high_single	RH|P|C27613_465	NapA	194	848	r__Root	1.0	111	3.5e-20	0.9570916198	1.5346	0.4166,0.6498,0.4683
gold_standard_high_single	RH|P|C29659_2	NapA	102	765	r__Root	1.0	111	1.4e-78	1.0	1.4412	0.2308,0.7422,0.4683
gold_standard_high_single	RH|P|C34434_49	NapA	101	759	r__Root	1.0	111	1.7e-74	1.0	1.444	0.1854,0.7903,0.4683
gold_standard_high_single	RH|P|C41409_157	NapA	101	757	r__Root	1.0	111	3.3e-73	1.0	1.4227	0.2298,0.7246,0.4683
gold_standard_high_single	RH|P|C11568_224	NapA	102	765	r__Root	1.0	111	1.8e-82	1.0	1.4825	0.3779,0.6363,0.4683
gold_standard_high_single	RH|P|C23389_746	NapA	104	756	r__Root	1.0	111	9.8e-79	1.0	1.3878	0.3136,0.6059,0.4683
gold_standard_high_single	RH|P|C20423_5	NapA	100	764	r__Root; d__Bacteria	1.0	111	5.5e-78	1.0	1.1508	0.1653,0.5172,0.4683
gold_standard_high_single	RH|P|C13424_150	NapA	100	763	r__Root	1.0	111	2.3e-79	1.0	1.2224	0.1823,0.5718,0.4683
gold_standard_high_single	RH|P|C20614_51	NapA	103	764	r__Root	1.0	111	5e-83	1.0	1.4063	0.0745,0.8635,0.4683
gold_standard_high_single	RH|P|C18536_66	NapA	110	763	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	106	3.9e-91	0.9652635336	0.7652	0.2691,0.4961,0.0
gold_standard_high_single	RH|P|C36832_46	NapA	101	727	r__Root	1.0	111	1.5e-79	1.0	1.465	0.3599,0.6368,0.4683
gold_standard_high_single	RH|P|C24352_216	NapA	98	759	r__Root	1.0	111	1.8e-74	1.0	1.4404	0.2744,0.6978,0.4683
gold_standard_high_single	RH|P|C9793_36	NapA	100	757	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	1.1e-78	0.9999533093	0.8188	0.2133,0.6055,0.0
gold_standard_high_single	RH|P|C20580_102	NapA	96	723	r__Root	1.0	111	4.2e-87	1.0	1.6551	0.5221,0.6647,0.4683
gold_standard_high_single	RH|P|C557_194	NapA	124	779	r__Root; d__Bacteria	1.0	111	2.7e-81	1.0	1.1246	0.0001,0.6563,0.4683
gold_standard_high_single	RH|P|C20361_90	NapA	118	787	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	7.1e-85	0.8192675829	0.9253	0.1062,0.5316,0.2874
gold_standard_high_single	RH|P|C4608_11	NapA	101	759	r__Root	1.0	111	1.1e-74	1.0	1.444	0.1854,0.7903,0.4683
gold_standard_high_single	RH|P|C12347_30	NapA	101	754	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	8.3e-83	0.9999980078	0.8889	0.2664,0.6225,0.0
gold_standard_high_single	RH|P|C8193_165	NapA	91	758	r__Root	1.0	111	4.7e-80	1.0	1.3988	0.2419,0.6887,0.4683
gold_standard_high_single	RH|P|C4252_116	NapA	104	765	r__Root	1.0	111	1.4e-79	1.0	1.3872	0.4153,0.5036,0.4683
gold_standard_high_single	RH|P|C7344_34	NapA	109	762	r__Root; d__Bacteria	1.0	111	2e-94	1.0	1.0171	0.064,0.4848,0.4683
gold_standard_high_single	RH|P|C22882_44	NapA	100	759	r__Root	1.0	111	8.3e-74	1.0	1.2475	0.1462,0.633,0.4683
gold_standard_high_single	RH|P|C9326_82	NapA	1	528	r__Root	1.0	111	1.2e-150	1.0	2.343	1.0993,0.7754,0.4683
gold_standard_high_single	RH|P|C6388_101	NapA	1	528	r__Root	1.0	156	1.1e-151	1.0	2.1174	0.0385,0.6524,1.4265
gold_standard_high_single	RH|P|C13217_571	NapA	1	665	r__Root	1.0	758	3.5e-261	1.0	2.0966	1.354,0.7426,0.0
gold_standard_high_single	RH|P|C39454_194	NapA	2	257	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	1.0	821	3.6e-118	1.0	0.174	0.0579,0.1161,0.0
gold_standard_high_single	RH|P|C2374_21	NapA	3	635	r__Root	1.0	1524	1.6e-168	0.9985758838	3.2087	0.0001,1.2236,1.985
gold_standard_high_single	RH|P|C32284_59	NapA	1	467	r__Root	1.0	1524	1.9e-127	0.9677410989	2.8665	0.0434,0.8381,1.985
gold_standard_high_single	RH|P|C30584_10	NapA	1	526	r__Root	1.0	1524	3.5e-160	0.9999046639	2.7736	0.0001,0.7885,1.985
gold_standard_high_single	RH|P|C5828_59	NapA	1	375	r__Root	1.0	1524	9.3e-105	0.9862051062	2.9496	0.0297,0.9349,1.985
gold_standard_high_single	RH|P|C30731_42	NapA	195	838	r__Root	1.0	1525	4.3e-81	1.0	5.0299	0.0001,1.7526,3.2772
gold_standard_high_single	RH|P|C35008_49	NapA	195	838	r__Root	1.0	1525	4.3e-81	1.0	5.0299	0.0001,1.7526,3.2772
gold_standard_high_single	RH|P|C1774_18	NapA	195	767	r__Root	1.0	1	3.5e-49	0.8733309221	3.0622	2.1277,0.9345,0.0
gold_standard_high_single	RH|P|C17525_26	NapA	241	755	r__Root	1.0	1	1.4e-22	1.0	1.9886	0.9306,1.058,0.0
gold_standard_high_single	RH|P|C3203_54	NapA	253	808	r__Root	1.0	1	1.8e-45	1.0	2.9919	1.5209,1.471,0.0
gold_standard_high_single	RH|P|C36745_30	NapA	233	829	r__Root	1.0	1	1.2e-52	0.8928809715	2.6918	1.5661,1.1258,0.0
gold_standard_high_single	RH|P|C13885_634	NapA	235	825	r__Root	1.0	2	6e-50	1.0	2.6215	1.2334,1.3881,0.0
gold_standard_high_single	RH|P|C35573_23	NapA	192	771	r__Root	1.0	2	6.4e-46	1.0	2.0791	0.9811,1.098,0.0
gold_standard_high_single	RH|P|C29808_209	NapA	192	815	r__Root	1.0	2	7.8e-93	1.0	1.8812	1.1293,0.7519,0.0
gold_standard_high_single	RH|P|C26832_465	NapA	216	807	r__Root	1.0	2	9.4e-59	1.0	2.6313	1.3677,1.2635,0.0
gold_standard_high_single	RH|P|C7174_137	NapA	243	820	r__Root	1.0	2	1.6e-51	1.0	2.2907	1.5053,0.7854,0.0
gold_standard_high_single	RH|P|C20688_520	NapA	1	603	r__Root	1.0	2	1.2e-35	1.0	2.8475	0.4831,2.3644,0.0
gold_standard_high_single	RH|P|C37021_158	NapA	227	811	r__Root	1.0	2	4.4e-45	1.0	3.1054	1.2834,1.8221,0.0
gold_standard_high_single	RH|P|C30819_21	NapA	217	815	r__Root	1.0	2	1.3e-56	1.0	2.6933	1.465,1.2283,0.0
gold_standard_high_single	RH|P|C27364_139	NapA	2	668	r__Root	1.0	2	1.4e-43	1.0	2.8374	0.49,2.3474,0.0
gold_standard_high_single	RH|P|C40900_231	NapA	193	783	r__Root	1.0	2	2.5e-39	1.0	2.1604	1.2894,0.871,0.0
gold_standard_high_single	RH|P|C38643_161	NapA	19	686	r__Root; d__Bacteria; p__Proteobacteria	1.0	6	2.7e-182	0.6860032749	0.9224	0.3975,0.5249,0.0
gold_standard_high_single	RH|P|C15042_295	NapA	1	659	r__Root; d__Bacteria	1.0	7	1.6e-178	1.0	1.0219	0.0547,0.4951,0.4721
gold_standard_high_single	RH|P|C4218_12	NapA	1	664	r__Root	1.0	10	9.6e-79	0.9476237312	1.6946	0.557,1.1376,0.0
gold_standard_high_single	RH|P|C3594_3	NapA	29	693	r__Root	1.0	12	2.7e-36	1.0	2.5739	0.8906,1.6833,0.0
gold_standard_high_single	RH|P|C7250_100	NapA	6	679	r__Root	1.0	12	1.7e-96	1.0	2.5095	1.6741,0.8354,0.0
gold_standard_high_single	RH|P|C13207_143	NapA	1	668	r__Root	1.0	12	2.1e-95	1.0	2.8088	1.6706,1.1382,0.0
gold_standard_high_single	RH|P|C36428_9	NapA	1	299	r__Root	1.0	15	1.5e-56	1.0	1.648	0.0001,0.3787,1.2692
gold_standard_high_single	RH|P|C20761_7	NapA	4	579	r__Root	1.0	15	1.2e-69	0.9999159474	2.2562	0.0693,0.9177,1.2692
gold_standard_high_single	RH|P|C25022_10	NapA	39	704	r__Root	1.0	15	2e-62	1.0	2.6324	0.0001,1.3631,1.2692
gold_standard_high_single	RH|P|C5925_212	NapA	1	666	r__Root	1.0	15	3.3e-103	0.9948303573	2.5093	0.0782,1.1618,1.2692
gold_standard_high_single	RH|P|C40178_63	NapA	1	676	r__Root	1.0	80	1.6e-107	0.8790058067	3.1999	0.245,0.7097,2.2451
gold_standard_high_single	RH|P|C2620_70	NapA	1	538	r__Root	1.0	104	4.2e-166	1.0	1.8016	0.7942,0.3874,0.62
gold_standard_high_single	RH|P|C8159_34	NapA	1	539	r__Root	1.0	104	4e-151	1.0	2.0347	0.7416,0.6731,0.62
gold_standard_high_single	RH|P|C24214_149	NapA	110	763	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	106	1.4e-90	0.9720464048	0.7699	0.2633,0.5067,0.0
gold_standard_high_single	RH|P|C31954_197	NapA	110	763	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	106	1.4e-90	0.9720464048	0.7699	0.2633,0.5067,0.0
gold_standard_high_single	RH|P|C6307_39	NapA	117	768	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	109	3.5e-82	1.0	0.7158	0.0559,0.5074,0.1525
gold_standard_high_single	RH|P|C29690_103	NapA	111	766	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	109	1.7e-82	0.9746749079	0.7206	0.0489,0.5193,0.1525
gold_standard_high_single	RH|P|C33642_170	NapA	96	757	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	7.4e-86	0.9983888259	0.9167	0.0001,0.6293,0.2874
gold_standard_high_single	RH|P|C21932_17	NapA	103	763	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	2.8e-84	1.0	0.9059	0.1379,0.4806,0.2874
gold_standard_high_single	RH|P|C11903_295	NapA	133	783	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	6.9e-83	0.9633997573	0.89	0.2755,0.6146,0.0
gold_standard_high_single	RH|P|C16955_23	NapA	107	760	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	1.3e-83	1.0	0.8158	0.0706,0.4578,0.2874
gold_standard_high_single	RH|P|C20004_42	NapA	110	765	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	1.1e-84	1.0	0.8748	0.0916,0.4958,0.2874
gold_standard_high_single	RH|P|C27499_191	NapA	128	774	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	1.8e-100	0.9972004541	0.9698	0.0721,0.6103,0.2874
gold_standard_high_single	RH|P|C18971_1297	NapA	108	754	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	5.1e-94	1.0	0.9136	0.14,0.4863,0.2874
gold_standard_high_single	RH|P|C38902_123	NapA	92	740	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	110	4e-80	1.0	0.7404	0.1299,0.3231,0.2874
gold_standard_high_single	RH|P|C12764_114	NapA	107	772	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	2.7e-73	1.0	0.8605	0.1024,0.4706,0.2874
gold_standard_high_single	RH|P|C35499_189	NapA	110	763	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	106	1.4e-90	0.9720464048	0.7699	0.2633,0.5067,0.0
gold_standard_high_single	RH|P|C2400_192	NapA	105	758	r__Root; d__Bacteria	1.0	110	5.2e-91	0.9178215777	1.0189	0.102,0.6295,0.2874
gold_standard_high_single	RH|P|C21034_48	NapA	110	766	r__Root	1.0	111	3.2e-76	1.0	1.3054	0.1108,0.7263,0.4683
gold_standard_high_single	RH|P|C26039_108	NapA	113	761	r__Root	1.0	111	3.8e-97	1.0	2.0987	0.9884,0.642,0.4683
gold_standard_high_single	RH|P|C27833_309	NapA	117	778	r__Root; d__Bacteria	1.0	111	8.6e-83	1.0	1.1761	0.0001,0.7077,0.4683
gold_standard_high_single	RH|P|C7501_5	NapA	99	756	r__Root	1.0	111	4.3e-76	1.0	1.5027	0.1589,0.8755,0.4683
gold_standard_high_single	RH|P|C8561_55	NapA	29	596	r__Root	1.0	1524	3.6e-114	0.9999663497	3.4962	0.0001,1.5111,1.985
gold_standard_high_single	RH|P|C8893_47	NapA	98	759	r__Root	1.0	111	6.8e-74	1.0	1.4507	0.2834,0.6991,0.4683
gold_standard_high_single	RH|P|C6334_8	NapA	102	759	r__Root	1.0	111	2.1e-74	1.0	1.4189	0.1804,0.7703,0.4683
gold_standard_high_single	RH|P|C38989_12	NapA	91	758	r__Root	1.0	111	1.5e-80	1.0	1.348	0.2362,0.6436,0.4683
gold_standard_high_single	RH|P|C29808_248	NapA	188	842	r__Root	1.0	111	2e-110	1.0	2.4694	1.1071,0.894,0.4683
gold_standard_high_single	RH|P|C41750_100	NapA	107	758	r__Root; d__Bacteria	1.0	111	6.6e-95	1.0	1.0046	0.1148,0.4214,0.4683
gold_standard_high_single	RH|P|C34473_68	NapA	104	765	r__Root	1.0	111	3.2e-79	1.0	1.3872	0.4153,0.5036,0.4683
gold_standard_high_single	RH|P|C40504_538	NapA	114	767	r__Root; d__Bacteria	1.0	111	9.5e-86	1.0	1.1204	0.1439,0.5082,0.4683
gold_standard_high_single	RH|P|C36641_68	NapA	104	764	r__Root	1.0	111	2.8e-79	1.0	1.3872	0.4153,0.5036,0.4683
gold_standard_high_single	RH|P|C38007_318	NapA	112	756	r__Root	1.0	111	8.6e-100	1.0	1.9349	0.8389,0.6277,0.4683
gold_standard_high_single	RH|P|C34416_590	NapA	104	762	r__Root	1.0	111	4.5e-76	1.0	1.4689	0.2938,0.7069,0.4683
gold_standard_high_single	RH|P|C42036_162	NapA	91	723	r__Root	1.0	111	6.7e-84	1.0	1.7592	0.5863,0.7046,0.4683
gold_standard_high_single	RH|P|C17644_34	NapA	102	761	r__Root; d__Bacteria	1.0	111	4.1e-82	1.0	1.182	0.0645,0.6492,0.4683
gold_standard_high_single	RH|P|C32747_144	NapA	114	766	r__Root	1.0	111	1.1e-82	1.0	1.3137	0.1008,0.7446,0.4683
gold_standard_high_single	RH|P|C17651_79	NapA	102	765	r__Root	1.0	111	2.4e-78	1.0	1.4247	0.2275,0.7289,0.4683
gold_standard_high_single	RH|P|C18673_269	NapA	103	765	r__Root	1.0	111	3.2e-83	1.0	1.292	0.3855,0.4382,0.4683
gold_standard_high_single	RH|P|C9927_839	NapA	101	754	r__Root; d__Bacteria	1.0	111	3.6e-84	1.0	1.107	0.1534,0.4853,0.4683
gold_standard_high_single	RH|P|C26424_1	NapA	1	286	r__Root; d__Bacteria	1.0	7	6.7e-65	0.6126042794	1.1602	0.0755,0.6126,0.4721
gold_standard_high_single	RH|P|C34517_225	NapA	1	268	r__Root	1.0	112	5e-40	1.0	1.4872	0.6331,0.8541,0.0
gold_standard_high_single	RH|P|C9747_67	NapA	1	528	r__Root	1.0	156	2.9e-155	0.9999782619	2.1144	0.1067,0.5811,1.4265
gold_standard_high_single	RH|P|C9936_3	NapA	1	310	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	1.0	793	4.6e-137	1.0	0.0414	0.0001,0.0413,0.0
gold_standard_high_single	RH|P|C30054_50	NapA	1	528	r__Root	1.0	1524	5.2e-160	0.9059550182	2.7862	0.008,0.7932,1.985
gold_standard_high_single	RH|P|C18910_35	NapA	1	526	r__Root	1.0	1524	1e-149	1.0	2.899	0.0001,0.914,1.985
gold_standard_high_single	RH|P|C1497_62	NapA	1	467	r__Root	1.0	1524	7.2e-129	0.9677410989	2.8665	0.0434,0.8381,1.985
gold_standard_high_single	RH|P|C39602_119	NapA	15	508	r__Root	1.0	1524	1.1e-151	1.0	2.8324	0.0001,0.8474,1.985
gold_standard_high_single	RH|P|C2738_20	NapA	193	785	r__Root	1.0	1	3.5e-37	0.9235203747	2.8153	2.0546,0.7607,0.0
gold_standard_high_single	RH|P|C20040_83	NapA	215	739	r__Root; d__Bacteria	1.0	1	8.8e-32	1.0	1.1195	0.8404,0.2792,0.0
gold_standard_high_single	RH|P|C6971_18	NapA	195	767	r__Root	1.0	1	3.5e-49	0.8733309221	3.0622	2.1277,0.9345,0.0
gold_standard_high_single	RH|P|C24235_562	NapA	192	768	r__Root	1.0	2	4.7e-41	1.0	2.6774	1.2001,1.4774,0.0
gold_standard_high_single	RH|P|C40176_576	NapA	217	809	r__Root	1.0	2	3.6e-51	1.0	1.9813	1.2993,0.682,0.0
gold_standard_high_single	RH|P|C13450_562	NapA	192	768	r__Root	1.0	2	4.7e-41	1.0	2.6774	1.2001,1.4774,0.0
gold_standard_high_single	RH|P|C27835_19	NapA	136	806	r__Root	1.0	2	2.2e-61	1.0	2.7651	0.7168,2.0483,0.0
gold_standard_high_single	RH|P|C23696_544	NapA	2	640	r__Root	1.0	2	3.9e-72	1.0	2.6742	1.4215,1.2526,0.0
gold_standard_high_single	RH|P|C21683_1	NapA	2	426	r__Root	1.0	8	9.2e-111	0.6418049734	1.4826	0.0781,0.6218,0.7826
gold_standard_high_single	RH|P|C18436_94	NapA	6	668	r__Root	1.0	12	6.3e-97	1.0	2.4739	1.6602,0.8137,0.0
gold_standard_high_single	RH|P|C790_230	NapA	42	712	r__Root	1.0	15	5.1e-63	0.8136420445	2.4145	0.0001,1.1452,1.2692
gold_standard_high_single	RH|P|C33043_63	NapA	39	706	r__Root	1.0	15	1.3e-65	1.0	2.5652	0.0001,1.296,1.2692
gold_standard_high_single	RH|P|C4483_131	NapA	68	738	r__Root	1.0	15	2.2e-56	1.0	2.4259	0.0104,1.1464,1.2692
gold_standard_high_single	RH|P|C33673_275	NapA	1	431	r__Root	1.0	77	3e-91	1.0	2.1481	0.1062,0.7691,1.2728
gold_standard_high_single	RH|P|C30320_47	NapA	1	467	r__Root	1.0	1524	9.3e-129	0.9677410989	2.8665	0.0434,0.8381,1.985
gold_standard_high_single	RH|P|C2196_52	NapA	101	754	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	8.3e-83	0.9999980078	0.8889	0.2664,0.6225,0.0
gold_standard_high_single	RH|P|C18695_83	NapA	118	765	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	9.6e-76	0.8555720782	0.8899	0.2864,0.6035,0.0
gold_standard_high_single	RH|P|C30036_23	NapA	107	759	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	2.6e-83	1.0	0.8158	0.0706,0.4578,0.2874
gold_standard_high_single	RH|P|C39274_225	NapA	110	765	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	6.3e-84	1.0	0.9212	0.0889,0.5449,0.2874
gold_standard_high_single	RH|P|C41081_359	NapA	110	760	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	3.5e-86	1.0	0.8274	0.1255,0.4145,0.2874
gold_standard_high_single	RH|P|C38925_58	NapA	103	763	r__Root; d__Bacteria	1.0	110	3e-88	0.9033829138	0.9975	0.1236,0.5865,0.2874
gold_standard_high_single	RH|P|C646_1036	NapA	156	809	r__Root; d__Bacteria; p__Proteobacteria	1.0	106	1.5e-85	0.9837383917	0.8031	0.2728,0.5303,0.0
gold_standard_high_single	RH|P|C32789_142	NapA	112	765	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.0	110	5.5e-87	1.0	0.6818	0.1093,0.2851,0.2874
gold_standard_high_single	RH|P|C4800_150	NapA	110	764	r__Root; d__Bacteria; p__Proteobacteria	1.0	110	9.9e-86	1.0	0.9138	0.0953,0.5311,0.2874
gold_standard_high_single	RH|P|C16880_75	NapA	101	763	r__Root	1.0	111	6.5e-86	1.0	1.392	0.1369,0.7867,0.4683
gold_standard_high_single	RH|P|C41815_452	NapA	127	781	r__Root; d__Bacteria	1.0	111	9.5e-93	1.0	1.0521	0.1613,0.4226,0.4683
gold_standard_high_single	RH|P|C23849_72	NapA	100	759	r__Root	1.0	111	4.5e-75	1.0	1.3415	0.4195,0.4538,0.4683
